# Gene Family	S001	S002	S003	S004	S005	S006	S007	S008	S009	S010	S011	S012	S013	S014	S015	S016	S017	S018	S019	S020
UNMAPPED	450000.0	420000.0	480000.0	400000.0	460000.0	430000.0	490000.0	410000.0	440000.0	450000.0	420000.0	500000.0	390000.0	470000.0	430000.0	480000.0	410000.0	460000.0	440000.0	470000.0
UniRef90_A0A0H2ZYR7	1250.0	1180.0	1320.0	1100.0	1280.0	1200.0	1350.0	1120.0	1220.0	1250.0	1180.0	1380.0	1080.0	1300.0	1200.0	1340.0	1120.0	1280.0	1240.0	1300.0
UniRef90_A0A0H2ZYR7|g__Bacteroides.s__Bacteroides_vulgatus	520.0	490.0	550.0	460.0	530.0	500.0	560.0	470.0	510.0	520.0	490.0	570.0	450.0	540.0	500.0	560.0	470.0	530.0	520.0	540.0
UniRef90_A0A0H2ZYS0	890.0	840.0	940.0	780.0	910.0	850.0	960.0	800.0	870.0	890.0	840.0	980.0	760.0	920.0	850.0	950.0	800.0	910.0	880.0	920.0
UniRef90_A0A0H2ZYS0|g__Bacteroides.s__Bacteroides_uniformis	380.0	360.0	400.0	330.0	390.0	360.0	410.0	340.0	370.0	380.0	360.0	420.0	320.0	400.0	360.0	400.0	340.0	390.0	370.0	390.0
UniRef90_A0A0H2ZYS1	650.0	610.0	690.0	570.0	660.0	620.0	700.0	580.0	630.0	650.0	610.0	720.0	560.0	670.0	620.0	700.0	580.0	660.0	640.0	670.0
UniRef90_A0A0H2ZYS1|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	280.0	260.0	300.0	240.0	290.0	260.0	310.0	250.0	270.0	280.0	260.0	320.0	230.0	300.0	260.0	300.0	250.0	290.0	270.0	290.0
UniRef90_A0A0H2ZYS2	1100.0	1040.0	1160.0	960.0	1120.0	1050.0	1180.0	980.0	1060.0	1100.0	1040.0	1210.0	940.0	1140.0	1050.0	1180.0	980.0	1120.0	1080.0	1140.0
UniRef90_A0A0H2ZYS2|g__Roseburia.s__Roseburia_intestinalis	450.0	420.0	480.0	390.0	460.0	430.0	490.0	400.0	430.0	450.0	420.0	500.0	380.0	470.0	430.0	490.0	400.0	460.0	440.0	470.0
UniRef90_A0A0H2ZYS3	780.0	730.0	830.0	680.0	790.0	740.0	850.0	700.0	760.0	780.0	730.0	880.0	660.0	810.0	740.0	840.0	700.0	800.0	760.0	810.0
UniRef90_A0A0H2ZYS3|g__Bifidobacterium.s__Bifidobacterium_longum	320.0	300.0	340.0	280.0	330.0	300.0	350.0	290.0	310.0	320.0	300.0	360.0	270.0	340.0	300.0	340.0	290.0	330.0	310.0	330.0
UniRef90_A0A0H2ZYS4	1500.0	1420.0	1580.0	1310.0	1530.0	1430.0	1610.0	1340.0	1450.0	1500.0	1420.0	1650.0	1280.0	1550.0	1430.0	1610.0	1340.0	1530.0	1470.0	1550.0
UniRef90_A0A0H2ZYS4|g__Escherichia.s__Escherichia_coli	620.0	580.0	660.0	540.0	630.0	590.0	670.0	550.0	600.0	620.0	580.0	690.0	530.0	640.0	590.0	670.0	550.0	630.0	610.0	640.0
UniRef90_A0A0H2ZYS5	2100.0	1980.0	2220.0	1840.0	2140.0	2000.0	2260.0	1880.0	2030.0	2100.0	1980.0	2310.0	1800.0	2170.0	2000.0	2260.0	1880.0	2140.0	2060.0	2170.0
UniRef90_A0A0H2ZYS5|g__Lactobacillus.s__Lactobacillus_reuteri	890.0	840.0	940.0	780.0	910.0	850.0	960.0	800.0	860.0	890.0	840.0	980.0	760.0	920.0	850.0	960.0	800.0	910.0	870.0	920.0
UniRef90_A0A0H2ZYS6	3400.0	3220.0	3600.0	2980.0	3460.0	3240.0	3660.0	3050.0	3290.0	3400.0	3220.0	3750.0	2910.0	3510.0	3240.0	3660.0	3050.0	3460.0	3330.0	3510.0
UniRef90_A0A0H2ZYS6|g__Akkermansia.s__Akkermansia_muciniphila	1420.0	1340.0	1500.0	1240.0	1450.0	1350.0	1520.0	1270.0	1370.0	1420.0	1340.0	1560.0	1210.0	1470.0	1350.0	1520.0	1270.0	1450.0	1390.0	1470.0
UniRef90_A0A0H2ZYS7	560.0	530.0	590.0	490.0	570.0	530.0	600.0	500.0	540.0	560.0	530.0	620.0	480.0	580.0	530.0	600.0	500.0	570.0	550.0	580.0
UniRef90_A0A0H2ZYS7|g__Prevotella.s__Prevotella_copri	230.0	220.0	250.0	200.0	240.0	220.0	250.0	210.0	220.0	230.0	220.0	260.0	190.0	240.0	220.0	250.0	210.0	230.0	230.0	240.0
UniRef90_A0A0H2ZYS8	420.0	400.0	450.0	370.0	430.0	400.0	460.0	380.0	410.0	420.0	400.0	470.0	360.0	440.0	400.0	460.0	380.0	430.0	410.0	440.0
UniRef90_A0A0H2ZYS8|g__Bacteroides.s__Bacteroides_vulgatus	180.0	170.0	190.0	160.0	180.0	170.0	200.0	160.0	170.0	180.0	170.0	200.0	150.0	190.0	170.0	190.0	160.0	180.0	170.0	190.0
UniRef90_A0A0H2ZYS9	890.0	840.0	940.0	780.0	910.0	850.0	960.0	800.0	860.0	890.0	840.0	980.0	760.0	920.0	850.0	960.0	800.0	910.0	870.0	920.0
UniRef90_A0A0H2ZYS9|g__Bacteroides.s__Bacteroides_uniformis	370.0	350.0	400.0	320.0	380.0	350.0	410.0	330.0	360.0	370.0	350.0	420.0	310.0	390.0	350.0	400.0	330.0	380.0	360.0	390.0
UniRef90_A0A0H2ZYT0	1200.0	1140.0	1270.0	1050.0	1230.0	1150.0	1290.0	1070.0	1160.0	1200.0	1140.0	1330.0	1030.0	1240.0	1150.0	1300.0	1080.0	1230.0	1180.0	1240.0
UniRef90_A0A0H2ZYT0|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	510.0	480.0	540.0	440.0	520.0	480.0	550.0	460.0	490.0	510.0	480.0	570.0	430.0	530.0	480.0	550.0	460.0	520.0	500.0	530.0
UniRef90_A0A0H2ZYT1	670.0	630.0	710.0	590.0	690.0	640.0	720.0	600.0	650.0	670.0	630.0	740.0	580.0	700.0	640.0	720.0	600.0	690.0	660.0	700.0
UniRef90_A0A0H2ZYT1|g__Roseburia.s__Roseburia_intestinalis	280.0	260.0	300.0	240.0	290.0	270.0	310.0	250.0	270.0	280.0	260.0	310.0	240.0	300.0	270.0	300.0	250.0	290.0	270.0	300.0
UniRef90_A0A0H2ZYT2	340.0	320.0	360.0	300.0	350.0	330.0	370.0	310.0	330.0	340.0	320.0	380.0	290.0	360.0	330.0	370.0	310.0	350.0	340.0	360.0
UniRef90_A0A0H2ZYT2|g__Bifidobacterium.s__Bifidobacterium_longum	140.0	130.0	150.0	120.0	150.0	130.0	160.0	130.0	140.0	140.0	130.0	160.0	120.0	150.0	130.0	150.0	130.0	140.0	140.0	150.0
UniRef90_A0A0H2ZYT3	210.0	200.0	230.0	180.0	220.0	200.0	240.0	190.0	210.0	210.0	200.0	250.0	170.0	220.0	200.0	230.0	190.0	220.0	210.0	220.0
